epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,23.8853,0.63547,1.1548,1.82701,1.08205,0.02055,1,0.87998,0.68134,0.01619,0.5,0.3822,0.33009,0.45106,1.45961,2.72678,0.92317,0.000344637,0.000344637,0.000344637
31,24.598,0.61677,1.2368,1.79473,1.02731,0.02078,1,0.83617,0.67221,0.01657,0.5,0.35493,0.30117,0.4469,1.08228,2.72476,0.92356,0.00035157,0.00035157,0.00035157
32,25.3093,0.55088,1.08555,1.79604,0.95473,0.02078,1,0.83617,0.67221,0.01657,0.5,0.35493,0.30117,0.4469,1.08228,2.72476,0.92356,0.000358173,0.000358173,0.000358173
33,26.0269,0.60093,1.24063,1.67472,1.06341,0.02059,1,0.8417,0.72737,0.01626,0.5,0.35577,0.31221,0.44595,0.73374,2.72263,0.93706,0.000364446,0.000364446,0.000364446
34,26.7191,0.64707,1.4305,1.61877,1.04466,0.02059,1,0.8417,0.72737,0.01626,0.5,0.35577,0.31221,0.44595,0.73374,2.72263,0.93706,0.000370389,0.000370389,0.000370389
35,27.4922,0.64015,1.29486,1.64083,1.05083,0.02069,1,0.80167,0.74434,0.01644,0.5,0.30919,0.27346,0.40931,0.66543,2.71314,0.92435,0.000376002,0.000376002,0.000376002
36,28.1848,0.60353,1.252,1.6118,1.02067,0.02069,1,0.80167,0.74434,0.01644,0.5,0.30919,0.27346,0.40931,0.66543,2.71314,0.92435,0.000381285,0.000381285,0.000381285
37,28.8949,0.64977,1.31358,1.62242,1.03215,0.02069,1,0.79764,0.74265,0.01575,0.47917,0.30545,0.27074,0.41889,0.83249,2.67919,0.91596,0.000386237,0.000386237,0.000386237
38,29.5804,0.64703,1.12129,1.42228,1.05503,0.02069,1,0.79764,0.74265,0.01575,0.47917,0.30545,0.27074,0.41889,0.83249,2.67919,0.91596,0.00039086,0.00039086,0.00039086
39,30.2967,0.63769,1.10313,1.36907,1.06741,0.02095,1,0.7909,0.74418,0.01685,0.5,0.32618,0.26937,0.44305,0.95589,2.65096,0.91603,0.000395152,0.000395152,0.000395152
40,30.9758,0.65417,1.19144,1.42209,1.08119,0.02095,1,0.7909,0.74418,0.01685,0.5,0.32618,0.26937,0.44305,0.95589,2.65096,0.91603,0.000399115,0.000399115,0.000399115
41,31.7062,0.64705,1.14292,1.33848,1.03303,0.02133,1,0.79094,0.71542,0.01742,0.5,0.30208,0.26177,0.45453,0.74895,2.60437,0.92058,0.000402747,0.000402747,0.000402747
42,32.3984,0.62894,1.30442,1.27114,1.07739,0.02133,1,0.79094,0.71542,0.01742,0.5,0.30208,0.26177,0.45453,0.74895,2.60437,0.92058,0.00040605,0.00040605,0.00040605
