epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.814144,2.01726,6.42059,3.36734,1.97968,0.00661,0.47917,0.01616,0.00317,0,0,0,0,3.21714,7.43696,3.17797,2.91981,0,0,0
2,1.49276,2.09962,6.35964,3.34689,2.03399,0.00659,0.47917,0.0093,0.00224,0,0,0,0,3.22219,7.50626,3.17353,2.92251,1.65875e-05,1.65875e-05,1.65875e-05
3,2.13684,2.15962,6.2741,3.35113,2.10633,0.00659,0.47917,0.00988,0.00326,0,0,0,0,3.20866,7.58,3.16771,2.9183,3.30099e-05,3.30099e-05,3.30099e-05
4,2.74645,2.03682,6.33223,3.408,2.17656,0.00658,0.47917,0.00963,0.00248,0,0,0,0,3.19632,7.55054,3.16384,2.91626,4.92674e-05,4.92674e-05,4.92674e-05
5,3.29226,1.92917,6.9424,3.17133,2.0379,0.00658,0.47917,0.0102,0.00277,0,0,0,0,3.18216,7.54366,3.16046,2.91744,6.53597e-05,6.53597e-05,6.53597e-05
6,3.86639,1.98459,6.67999,3.32561,1.99495,0.00963,0.5625,0.03857,0.02526,0.00077,0.02083,0.00041,0.00012,2.4969,5.4437,3.04935,2.4276,8.12871e-05,8.12871e-05,8.12871e-05
7,4.95797,1.85011,4.84093,3.28067,1.88699,0.01045,0.6875,0.05582,0.04186,0.00218,0.0625,0.00781,0.00509,2.07523,3.97944,2.94718,2.08736,9.70494e-05,9.70494e-05,9.70494e-05
8,6.0717,1.52429,3.64402,3.21907,1.63601,0.01312,0.77083,0.12376,0.06463,0.00537,0.16667,0.11776,0.04067,1.47016,2.83595,2.91941,1.7108,0.000112647,0.000112647,0.000112647
9,7.18655,1.5164,3.36116,2.98594,1.62031,0.01437,0.8125,0.15538,0.08948,0.00886,0.29167,0.13842,0.06607,1.44881,2.59351,2.9111,1.67734,0.000128079,0.000128079,0.000128079
10,8.28183,1.33578,2.74042,3.01049,1.46366,0.01807,0.9375,0.27059,0.164,0.01157,0.39583,0.14722,0.07254,1.32777,2.10711,2.92633,1.55502,0.000143346,0.000143346,0.000143346
11,9.41792,1.44834,2.66516,2.94909,1.55603,0.0181,0.9375,0.34384,0.22227,0.01275,0.45833,0.13743,0.09184,1.15472,1.49138,2.91571,1.44067,0.000158448,0.000158448,0.000158448
12,10.5251,1.10866,2.31317,2.8947,1.323,0.0188,0.95833,0.47058,0.34553,0.01295,0.47917,0.15463,0.10066,1.06047,1.29456,2.88278,1.36928,0.000173386,0.000173386,0.000173386
13,11.5901,1.24599,2.30236,2.86934,1.36833,0.01948,0.97917,0.6629,0.51789,0.01327,0.5,0.18582,0.12257,0.99692,1.22798,2.84761,1.29876,0.000188158,0.000188158,0.000188158
14,12.6926,1.00868,1.81457,2.79073,1.22551,0.02002,1,0.65534,0.50902,0.0133,0.5,0.21347,0.13733,0.96803,1.15572,2.82651,1.24745,0.000202765,0.000202765,0.000202765
