epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.866623,2.01726,6.42059,3.36734,1.97968,0.00661,0.47917,0.01616,0.00317,0,0,0,0,3.21714,7.43696,3.17797,2.91981,0,0,0
2,1.73985,2.09962,6.35964,3.34689,2.03399,0.00659,0.47917,0.0093,0.00224,0,0,0,0,3.22219,7.50626,3.17353,2.92251,1.65875e-05,1.65875e-05,1.65875e-05
3,2.55511,2.15962,6.2741,3.35113,2.10633,0.00659,0.47917,0.00988,0.00326,0,0,0,0,3.20866,7.58,3.16771,2.9183,3.30099e-05,3.30099e-05,3.30099e-05
4,3.31043,2.03682,6.33223,3.408,2.17656,0.00658,0.47917,0.00963,0.00248,0,0,0,0,3.19632,7.55054,3.16384,2.91626,4.92674e-05,4.92674e-05,4.92674e-05
5,3.91067,1.92917,6.9424,3.17133,2.0379,0.00658,0.47917,0.0102,0.00277,0,0,0,0,3.18216,7.54366,3.16046,2.91744,6.53597e-05,6.53597e-05,6.53597e-05
6,4.55265,1.98459,6.67999,3.32561,1.99495,0.00963,0.5625,0.03857,0.02526,0.00077,0.02083,0.00041,0.00012,2.4969,5.4437,3.04935,2.4276,8.12871e-05,8.12871e-05,8.12871e-05
7,5.7936,1.85011,4.84093,3.28067,1.88699,0.01045,0.6875,0.05582,0.04186,0.00218,0.0625,0.00781,0.00509,2.07523,3.97944,2.94718,2.08736,9.70494e-05,9.70494e-05,9.70494e-05
8,6.97313,1.52429,3.64402,3.21907,1.63601,0.01312,0.77083,0.12376,0.06463,0.00537,0.16667,0.11776,0.04067,1.47016,2.83595,2.91941,1.7108,0.000112647,0.000112647,0.000112647
9,8.17189,1.5164,3.36116,2.98594,1.62031,0.01437,0.8125,0.15538,0.08948,0.00886,0.29167,0.13842,0.06607,1.44881,2.59351,2.9111,1.67734,0.000128079,0.000128079,0.000128079
10,9.39242,1.33578,2.74042,3.01049,1.46366,0.01807,0.9375,0.27059,0.164,0.01157,0.39583,0.14722,0.07254,1.32777,2.10711,2.92633,1.55502,0.000143346,0.000143346,0.000143346
11,10.6437,1.44834,2.66516,2.94909,1.55603,0.0181,0.9375,0.34384,0.22227,0.01275,0.45833,0.13743,0.09184,1.15472,1.49138,2.91571,1.44067,0.000158448,0.000158448,0.000158448
12,11.8111,1.10866,2.31317,2.8947,1.323,0.0188,0.95833,0.47058,0.34553,0.01295,0.47917,0.15463,0.10066,1.06047,1.29456,2.88278,1.36928,0.000173386,0.000173386,0.000173386
13,12.9943,1.24599,2.30236,2.86934,1.36833,0.01948,0.97917,0.6629,0.51789,0.01327,0.5,0.18582,0.12257,0.99692,1.22798,2.84761,1.29876,0.000188158,0.000188158,0.000188158
14,14.2052,1.00868,1.81457,2.79073,1.22551,0.02002,1,0.65534,0.50902,0.0133,0.5,0.21347,0.13733,0.96803,1.15572,2.82651,1.24745,0.000202765,0.000202765,0.000202765
15,15.4493,1.05786,1.84314,2.64588,1.3198,0.01999,1,0.58383,0.48374,0.01336,0.5,0.22945,0.16493,0.84285,0.99611,2.8255,1.15876,0.000217207,0.000217207,0.000217207
16,16.2803,0.91106,1.6587,2.50826,1.18423,0.02007,1,0.64059,0.49972,0.0132,0.5,0.24365,0.18278,0.73496,0.8583,2.80967,1.07234,0.000231484,0.000231484,0.000231484
17,17.6118,0.9779,1.43336,2.50251,1.22448,0.02005,1,0.6349,0.44554,0.01325,0.5,0.26514,0.2041,0.66699,0.84214,2.8032,1.03967,0.000245596,0.000245596,0.000245596
18,18.4545,0.90183,1.57944,2.39672,1.1556,0.02005,1,0.6349,0.44554,0.01325,0.5,0.26514,0.2041,0.66699,0.84214,2.8032,1.03967,0.000259543,0.000259543,0.000259543
19,19.294,0.85896,1.50142,2.3894,1.17709,0.01986,1,0.75509,0.49796,0.01378,0.5,0.27111,0.20395,0.69176,0.98661,2.8072,1.05831,0.000273325,0.000273325,0.000273325
20,20.4917,0.84358,1.13307,2.34335,1.14591,0.01986,1,0.75509,0.49796,0.01378,0.5,0.27111,0.20395,0.69176,0.98661,2.8072,1.05831,0.000286942,0.000286942,0.000286942
21,21.8832,0.90774,1.22275,2.34937,1.19634,0.01983,1,0.68952,0.52328,0.01405,0.5,0.28155,0.17788,0.84135,1.38704,2.82212,1.15503,0.000300393,0.000300393,0.000300393
22,22.7807,0.89221,1.75039,2.2739,1.197,0.01983,1,0.68952,0.52328,0.01405,0.5,0.28155,0.17788,0.84135,1.38704,2.82212,1.15503,0.00031368,0.00031368,0.00031368
23,23.7137,0.79703,1.04244,2.11962,1.12324,0.01983,1,0.69165,0.42236,0.01413,0.5,0.21399,0.12739,0.99354,1.5146,2.8296,1.26537,0.000326802,0.000326802,0.000326802
24,24.5498,0.89154,1.15903,2.16928,1.13683,0.01983,1,0.69165,0.42236,0.01413,0.5,0.21399,0.12739,0.99354,1.5146,2.8296,1.26537,0.000339759,0.000339759,0.000339759
25,25.4236,0.8718,1.39523,2.1562,1.15535,0.01983,1,0.68847,0.46832,0.01359,0.47917,0.15787,0.11421,0.97365,1.76001,2.80978,1.25509,0.00035255,0.00035255,0.00035255
26,26.2776,0.93006,1.60549,2.06202,1.23213,0.01983,1,0.68847,0.46832,0.01359,0.47917,0.15787,0.11421,0.97365,1.76001,2.80978,1.25509,0.000365177,0.000365177,0.000365177
27,27.1551,0.89562,1.14859,2.08144,1.08646,0.01985,1,0.72568,0.50758,0.01384,0.5,0.27818,0.17115,0.97148,1.49776,2.7628,1.21204,0.000377639,0.000377639,0.000377639
