epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.743633,2.01726,6.42059,3.36734,1.97968,0.00661,0.47917,0.01616,0.00317,0,0,0,0,3.21714,7.43696,3.17797,2.91981,0,0,0
2,1.45296,2.09962,6.35964,3.34689,2.03399,0.00659,0.47917,0.0093,0.00224,0,0,0,0,3.22219,7.50626,3.17353,2.92251,1.656e-05,1.656e-05,1.656e-05
3,2.11656,2.15962,6.2741,3.35113,2.10633,0.00659,0.47917,0.00988,0.00326,0,0,0,0,3.20866,7.58,3.16771,2.9183,3.28999e-05,3.28999e-05,3.28999e-05
4,2.73157,2.03682,6.33223,3.408,2.17656,0.00658,0.47917,0.00963,0.00248,0,0,0,0,3.19632,7.55054,3.16384,2.91626,4.90198e-05,4.90198e-05,4.90198e-05
5,3.29144,1.92917,6.9424,3.17133,2.0379,0.00658,0.47917,0.0102,0.00277,0,0,0,0,3.18216,7.54366,3.16046,2.91744,6.49196e-05,6.49196e-05,6.49196e-05
6,3.86892,1.98459,6.67999,3.32561,1.99495,0.00962,0.5625,0.032,0.02095,0.00076,0.02083,0.00041,0.00012,2.49574,5.45489,3.04965,2.42942,8.05995e-05,8.05995e-05,8.05995e-05
7,4.9916,1.85162,4.8416,3.28006,1.88889,0.01115,0.70833,0.05602,0.04109,0.00216,0.0625,0.00979,0.00566,2.04252,3.996,2.95312,2.07695,9.60592e-05,9.60592e-05,9.60592e-05
8,6.11613,1.52447,3.64113,3.22103,1.63884,0.01309,0.77083,0.11784,0.06048,0.00712,0.22917,0.11091,0.03752,1.46446,2.75217,2.91617,1.69687,0.000111299,0.000111299,0.000111299
9,7.22985,1.50332,3.3542,2.99381,1.61964,0.01375,0.79167,0.14753,0.08385,0.00873,0.29167,0.12012,0.0656,1.3897,2.45556,2.91936,1.61263,0.000126319,0.000126319,0.000126319
10,8.33838,1.33025,2.74986,3.01658,1.45945,0.01865,0.95833,0.26397,0.18049,0.01132,0.39583,0.15458,0.09406,1.22097,2.19885,2.89478,1.48248,0.000141118,0.000141118,0.000141118
